id_anssi,titre_anssi,type_bulletin,date_publication,cve,cvss_score,base_severity,cwe,cwe_desc,epss_score,lien_anssi,description,editeur,produit,versions_affectees
CERTFR-2026-AVI-0734,Multiples vulnérabilités dans les produits Palo Alto Networks (11 juin 2026),Avis,"Thu, 11 Jun 2026 00:00:00 +0000",CVE-2026-8582,,,Non disponible,Object lifecycle issue,0.0019,https://www.cert.ssi.gouv.fr/avis/CERTFR-2026-AVI-0734/,Object lifecycle issue in Dawn in Google Chrome prior to 148.0.7778.168 allowed a remote attacker to obtain potentially sensitive information from process memory via a crafted HTML page. (Chromium security severity: Medium),Google,Chrome,148.0.7778.168
CERTFR-2026-AVI-0734,Multiples vulnérabilités dans les produits Palo Alto Networks (11 juin 2026),Avis,"Thu, 11 Jun 2026 00:00:00 +0000",CVE-2026-8583,,,Non disponible,Insufficient policy enforcement,0.00179,https://www.cert.ssi.gouv.fr/avis/CERTFR-2026-AVI-0734/,Insufficient policy enforcement in WebXR in Google Chrome on Android prior to 148.0.7778.168 allowed a remote attacker who had compromised the renderer process to obtain potentially sensitive information from process memory via a crafted HTML page. (Chromium security severity: Medium),Google,Chrome,148.0.7778.168
CERTFR-2026-AVI-0734,Multiples vulnérabilités dans les produits Palo Alto Networks (11 juin 2026),Avis,"Thu, 11 Jun 2026 00:00:00 +0000",CVE-2026-8584,,,Non disponible,Inappropriate implementation,0.00138,https://www.cert.ssi.gouv.fr/avis/CERTFR-2026-AVI-0734/,Inappropriate implementation in Views in Google Chrome on iOS prior to 148.0.7778.168 allowed a remote attacker who had compromised the renderer process to perform UI spoofing via a crafted HTML page. (Chromium security severity: Medium),Google,Chrome,148.0.7778.168
CERTFR-2026-AVI-0734,Multiples vulnérabilités dans les produits Palo Alto Networks (11 juin 2026),Avis,"Thu, 11 Jun 2026 00:00:00 +0000",CVE-2026-8585,,,Non disponible,Inappropriate implementation,0.00176,https://www.cert.ssi.gouv.fr/avis/CERTFR-2026-AVI-0734/,Inappropriate implementation in Media in Google Chrome on iOS prior to 148.0.7778.168 allowed a remote attacker who had compromised the renderer process to perform an out of bounds memory read via a crafted HTML page. (Chromium security severity: Medium),Google,Chrome,148.0.7778.168
CERTFR-2026-AVI-0734,Multiples vulnérabilités dans les produits Palo Alto Networks (11 juin 2026),Avis,"Thu, 11 Jun 2026 00:00:00 +0000",CVE-2026-8586,,,Non disponible,Inappropriate implementation,0.00103,https://www.cert.ssi.gouv.fr/avis/CERTFR-2026-AVI-0734/,Inappropriate implementation in Chromoting in Google Chrome prior to 148.0.7778.168 allowed a local attacker to bypass discretionary access control via a malicious file. (Chromium security severity: Medium),Google,Chrome,148.0.7778.168
CERTFR-2026-AVI-0734,Multiples vulnérabilités dans les produits Palo Alto Networks (11 juin 2026),Avis,"Thu, 11 Jun 2026 00:00:00 +0000",CVE-2026-8587,,,CWE-416,Use after free,0.00175,https://www.cert.ssi.gouv.fr/avis/CERTFR-2026-AVI-0734/,Use after free in Extensions in Google Chrome on Mac prior to 148.0.7778.168 allowed an attacker who convinced a user to install a malicious extension to execute arbitrary code via a crafted Chrome Extension. (Chromium security severity: Medium),Google,Chrome,148.0.7778.168
CERTFR-2026-AVI-0734,Multiples vulnérabilités dans les produits Palo Alto Networks (11 juin 2026),Avis,"Thu, 11 Jun 2026 00:00:00 +0000",CVE-2026-9110,,,Non disponible,Inappropriate implementation,0.00235,https://www.cert.ssi.gouv.fr/avis/CERTFR-2026-AVI-0734/,Inappropriate implementation in UI in Google Chrome on Windows prior to 148.0.7778.179 allowed a remote attacker who had compromised the renderer process to perform UI spoofing via a crafted HTML page. (Chromium security severity: Critical),Google,Chrome,148.0.7778.179
CERTFR-2026-AVI-0734,Multiples vulnérabilités dans les produits Palo Alto Networks (11 juin 2026),Avis,"Thu, 11 Jun 2026 00:00:00 +0000",CVE-2026-9111,,,CWE-416,Use after free,0.00601,https://www.cert.ssi.gouv.fr/avis/CERTFR-2026-AVI-0734/,Use after free in WebRTC in Google Chrome on Linux prior to 148.0.7778.179 allowed a remote attacker to execute arbitrary code via a crafted HTML page. (Chromium security severity: Critical),Google,Chrome,148.0.7778.179
CERTFR-2026-AVI-0734,Multiples vulnérabilités dans les produits Palo Alto Networks (11 juin 2026),Avis,"Thu, 11 Jun 2026 00:00:00 +0000",CVE-2026-9112,,,CWE-416,Use after free,0.00388,https://www.cert.ssi.gouv.fr/avis/CERTFR-2026-AVI-0734/,Use after free in GPU in Google Chrome on Windows prior to 148.0.7778.179 allowed a remote attacker to execute arbitrary code inside a sandbox via a crafted HTML page. (Chromium security severity: High),Google,Chrome,148.0.7778.179
CERTFR-2026-AVI-0734,Multiples vulnérabilités dans les produits Palo Alto Networks (11 juin 2026),Avis,"Thu, 11 Jun 2026 00:00:00 +0000",CVE-2026-9113,,,CWE-125,Out of bounds read,0.00218,https://www.cert.ssi.gouv.fr/avis/CERTFR-2026-AVI-0734/,Out of bounds read in GPU in Google Chrome on Mac prior to 148.0.7778.179 allowed a remote attacker to perform an out of bounds memory read via a crafted HTML page. (Chromium security severity: High),Google,Chrome,148.0.7778.179
